시도,시군구,업종대분류,분류,업종중분류,업종소분류,건수
서울특별시,강남구,학문/교육,학원,보습교습입시,검정고시,2
서울특별시,강남구,학문/교육,학원,어학,어린이영어,18
서울특별시,강남구,학문/교육,학원,어학,외국어/어학,636
서울특별시,강남구,학문/교육,학원,보습교습입시,입시,1173
서울특별시,강남구,학문/교육,학원,보습교습입시,편입,3
서울특별시,강동구,학문/교육,학원,어학,어린이영어,35
서울특별시,강동구,학문/교육,학원,어학,외국어/어학,174
서울특별시,강동구,학문/교육,학원,보습교습입시,입시,452
서울특별시,강북구,학문/교육,학원,어학,어린이영어,3
서울특별시,강북구,학문/교육,학원,어학,외국어/어학,48
서울특별시,강북구,학문/교육,학원,보습교습입시,입시,126
서울특별시,강서구,학문/교육,학원,어학,어린이영어,19
서울특별시,강서구,학문/교육,학원,어학,외국어/어학,168
서울특별시,강서구,학문/교육,학원,보습교습입시,입시,357
서울특별시,관악구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,관악구,학문/교육,학원,어학,어린이영어,16
서울특별시,관악구,학문/교육,학원,어학,외국어/어학,137
서울특별시,관악구,학문/교육,학원,보습교습입시,입시,306
서울특별시,광진구,학문/교육,학원,어학,어린이영어,26
서울특별시,광진구,학문/교육,학원,어학,외국어/어학,116
서울특별시,광진구,학문/교육,학원,보습교습입시,입시,457
서울특별시,광진구,학문/교육,학원,보습교습입시,편입,4
서울특별시,구로구,학문/교육,학원,어학,어린이영어,13
서울특별시,구로구,학문/교육,학원,어학,외국어/어학,133
서울특별시,구로구,학문/교육,학원,보습교습입시,입시,259
서울특별시,금천구,학문/교육,학원,어학,어린이영어,15
서울특별시,금천구,학문/교육,학원,어학,외국어/어학,59
서울특별시,금천구,학문/교육,학원,보습교습입시,입시,162
서울특별시,노원구,학문/교육,학원,어학,어린이영어,11
서울특별시,노원구,학문/교육,학원,어학,외국어/어학,223
서울특별시,노원구,학문/교육,학원,보습교습입시,입시,458
서울특별시,노원구,학문/교육,학원,보습교습입시,편입,1
서울특별시,도봉구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,도봉구,학문/교육,학원,어학,어린이영어,2
서울특별시,도봉구,학문/교육,학원,어학,외국어/어학,120
서울특별시,도봉구,학문/교육,학원,보습교습입시,입시,260
서울특별시,동대문구,학문/교육,학원,어학,어린이영어,19
서울특별시,동대문구,학문/교육,학원,어학,외국어/어학,100
서울특별시,동대문구,학문/교육,학원,보습교습입시,입시,214
서울특별시,동작구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,동작구,학문/교육,학원,어학,어린이영어,12
서울특별시,동작구,학문/교육,학원,어학,외국어/어학,99
서울특별시,동작구,학문/교육,학원,보습교습입시,입시,292
서울특별시,동작구,학문/교육,학원,보습교습입시,편입,5
서울특별시,마포구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,마포구,학문/교육,학원,어학,어린이영어,11
서울특별시,마포구,학문/교육,학원,어학,외국어/어학,130
서울특별시,마포구,학문/교육,학원,보습교습입시,입시,190
서울특별시,마포구,학문/교육,학원,보습교습입시,편입,1
서울특별시,서대문구,학문/교육,학원,어학,어린이영어,10
서울특별시,서대문구,학문/교육,학원,어학,외국어/어학,106
서울특별시,서대문구,학문/교육,학원,보습교습입시,입시,171
서울특별시,서대문구,학문/교육,학원,보습교습입시,편입,1
서울특별시,서초구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,서초구,학문/교육,학원,어학,어린이영어,20
서울특별시,서초구,학문/교육,학원,어학,외국어/어학,325
서울특별시,서초구,학문/교육,학원,보습교습입시,입시,805
서울특별시,서초구,학문/교육,학원,보습교습입시,편입,4
서울특별시,성동구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,성동구,학문/교육,학원,어학,어린이영어,4
서울특별시,성동구,학문/교육,학원,어학,외국어/어학,99
서울특별시,성동구,학문/교육,학원,보습교습입시,입시,162
서울특별시,성북구,학문/교육,학원,어학,어린이영어,9
서울특별시,성북구,학문/교육,학원,어학,외국어/어학,168
서울특별시,성북구,학문/교육,학원,보습교습입시,입시,335
서울특별시,송파구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,송파구,학문/교육,학원,어학,어린이영어,11
서울특별시,송파구,학문/교육,학원,어학,외국어/어학,200
서울특별시,송파구,학문/교육,학원,보습교습입시,입시,601
서울특별시,송파구,학문/교육,학원,보습교습입시,편입,2
서울특별시,양천구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,양천구,학문/교육,학원,어학,어린이영어,7
서울특별시,양천구,학문/교육,학원,어학,외국어/어학,255
서울특별시,양천구,학문/교육,학원,보습교습입시,입시,719
서울특별시,영등포구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,영등포구,학문/교육,학원,어학,어린이영어,6
서울특별시,영등포구,학문/교육,학원,어학,외국어/어학,101
서울특별시,영등포구,학문/교육,학원,보습교습입시,입시,202
서울특별시,영등포구,학문/교육,학원,보습교습입시,편입,1
서울특별시,용산구,학문/교육,학원,어학,어린이영어,3
서울특별시,용산구,학문/교육,학원,어학,외국어/어학,67
서울특별시,용산구,학문/교육,학원,보습교습입시,입시,105
서울특별시,은평구,학문/교육,학원,어학,어린이영어,4
서울특별시,은평구,학문/교육,학원,어학,외국어/어학,163
서울특별시,은평구,학문/교육,학원,보습교습입시,입시,341
서울특별시,종로구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,종로구,학문/교육,학원,어학,어린이영어,4
서울특별시,종로구,학문/교육,학원,어학,외국어/어학,86
서울특별시,종로구,학문/교육,학원,보습교습입시,입시,92
서울특별시,종로구,학문/교육,학원,보습교습입시,편입,5
서울특별시,중구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,중구,학문/교육,학원,어학,어린이영어,6
서울특별시,중구,학문/교육,학원,어학,외국어/어학,33
서울특별시,중구,학문/교육,학원,보습교습입시,입시,70
서울특별시,중랑구,학문/교육,학원,어학,어린이영어,4
서울특별시,중랑구,학문/교육,학원,어학,외국어/어학,84
서울특별시,중랑구,학문/교육,학원,보습교습입시,입시,231
서울특별시,강남구,학문/교육,유아교육,유아교육,놀이방,11
서울특별시,강남구,학문/교육,유아교육,유아교육,실내놀이터-유아,3
서울특별시,강남구,학문/교육,유아교육,유아교육,어린이집,191
서울특별시,강남구,학문/교육,유아교육,유아교육,유아교육기관기타,16
서울특별시,강남구,학문/교육,유아교육,유아교육,유치원,24
서울특별시,강동구,학문/교육,유아교육,유아교육,놀이방,11
서울특별시,강동구,학문/교육,유아교육,유아교육,블럭놀이방,9
서울특별시,강동구,학문/교육,유아교육,유아교육,실내놀이터-유아,6
서울특별시,강동구,학문/교육,유아교육,유아교육,어린이집,244
서울특별시,강동구,학문/교육,유아교육,유아교육,유아교육기관기타,8
서울특별시,강동구,학문/교육,유아교육,유아교육,유치원,18
서울특별시,강북구,학문/교육,유아교육,유아교육,놀이방,5
서울특별시,강북구,학문/교육,유아교육,유아교육,실내놀이터-유아,1
서울특별시,강북구,학문/교육,유아교육,유아교육,어린이집,139
서울특별시,강북구,학문/교육,유아교육,유아교육,유치원,11
서울특별시,강서구,학문/교육,유아교육,유아교육,놀이방,9
서울특별시,강서구,학문/교육,유아교육,유아교육,블럭놀이방,3
서울특별시,강서구,학문/교육,유아교육,유아교육,실내놀이터-유아,9
서울특별시,강서구,학문/교육,유아교육,유아교육,어린이집,312
서울특별시,강서구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,강서구,학문/교육,유아교육,유아교육,유치원,25
서울특별시,관악구,학문/교육,유아교육,유아교육,놀이방,12
서울특별시,관악구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,관악구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,관악구,학문/교육,유아교육,유아교육,어린이집,252
서울특별시,관악구,학문/교육,유아교육,유아교육,유아교육기관기타,3
서울특별시,관악구,학문/교육,유아교육,유아교육,유치원,22
서울특별시,광진구,학문/교육,유아교육,유아교육,놀이방,9
서울특별시,광진구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,광진구,학문/교육,유아교육,유아교육,실내놀이터-유아,12
서울특별시,광진구,학문/교육,유아교육,유아교육,어린이집,205
서울특별시,광진구,학문/교육,유아교육,유아교육,유아교육기관기타,10
서울특별시,광진구,학문/교육,유아교육,유아교육,유치원,22
서울특별시,구로구,학문/교육,유아교육,유아교육,놀이방,4
서울특별시,구로구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,구로구,학문/교육,유아교육,유아교육,실내놀이터-유아,2
서울특별시,구로구,학문/교육,유아교육,유아교육,어린이집,266
서울특별시,구로구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,구로구,학문/교육,유아교육,유아교육,유치원,26
서울특별시,금천구,학문/교육,유아교육,유아교육,놀이방,9
서울특별시,금천구,학문/교육,유아교육,유아교육,동화구연,1
서울특별시,금천구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,금천구,학문/교육,유아교육,유아교육,실내놀이터-유아,7
서울특별시,금천구,학문/교육,유아교육,유아교육,어린이집,140
서울특별시,금천구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,금천구,학문/교육,유아교육,유아교육,유치원,16
서울특별시,노원구,학문/교육,유아교육,유아교육,놀이방,18
서울특별시,노원구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,노원구,학문/교육,유아교육,유아교육,실내놀이터-유아,3
서울특별시,노원구,학문/교육,유아교육,유아교육,어린이집,368
서울특별시,노원구,학문/교육,유아교육,유아교육,유아교육기관기타,3
서울특별시,노원구,학문/교육,유아교육,유아교육,유치원,42
서울특별시,도봉구,학문/교육,유아교육,유아교육,놀이방,4
서울특별시,도봉구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,도봉구,학문/교육,유아교육,유아교육,어린이집,223
서울특별시,도봉구,학문/교육,유아교육,유아교육,유아교육기관기타,4
서울특별시,도봉구,학문/교육,유아교육,유아교육,유치원,24
서울특별시,동대문구,학문/교육,유아교육,유아교육,놀이방,6
서울특별시,동대문구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,동대문구,학문/교육,유아교육,유아교육,어린이집,164
서울특별시,동대문구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,동대문구,학문/교육,유아교육,유아교육,유치원,22
서울특별시,동작구,학문/교육,유아교육,유아교육,놀이방,7
서울특별시,동작구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,동작구,학문/교육,유아교육,유아교육,어린이집,173
서울특별시,동작구,학문/교육,유아교육,유아교육,유아교육기관기타,11
서울특별시,동작구,학문/교육,유아교육,유아교육,유치원,23
서울특별시,마포구,학문/교육,유아교육,유아교육,놀이방,6
서울특별시,마포구,학문/교육,유아교육,유아교육,실내놀이터-유아,1
서울특별시,마포구,학문/교육,유아교육,유아교육,어린이집,178
서울특별시,마포구,학문/교육,유아교육,유아교육,유아교육기관기타,8
서울특별시,마포구,학문/교육,유아교육,유아교육,유치원,21
서울특별시,서대문구,학문/교육,유아교육,유아교육,실내놀이터-유아,1
서울특별시,서대문구,학문/교육,유아교육,유아교육,어린이집,134
서울특별시,서대문구,학문/교육,유아교육,유아교육,유아교육기관기타,1
서울특별시,서대문구,학문/교육,유아교육,유아교육,유치원,16
서울특별시,서초구,학문/교육,유아교육,유아교육,놀이방,6
서울특별시,서초구,학문/교육,유아교육,유아교육,동화구연,2
서울특별시,서초구,학문/교육,유아교육,유아교육,블럭놀이방,1
서울특별시,서초구,학문/교육,유아교육,유아교육,실내놀이터-유아,1
서울특별시,서초구,학문/교육,유아교육,유아교육,어린이집,179
서울특별시,서초구,학문/교육,유아교육,유아교육,유아교육기관기타,24
서울특별시,서초구,학문/교육,유아교육,유아교육,유치원,21
서울특별시,성동구,학문/교육,유아교육,유아교육,놀이방,4
서울특별시,성동구,학문/교육,유아교육,유아교육,실내놀이터-유아,1
서울특별시,성동구,학문/교육,유아교육,유아교육,어린이집,144
서울특별시,성동구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,성동구,학문/교육,유아교육,유아교육,유치원,16
서울특별시,성북구,학문/교육,유아교육,유아교육,놀이방,4
서울특별시,성북구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,성북구,학문/교육,유아교육,유아교육,실내놀이터-유아,5
서울특별시,성북구,학문/교육,유아교육,유아교육,어린이집,252
서울특별시,성북구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,성북구,학문/교육,유아교육,유아교육,유치원,35
서울특별시,송파구,학문/교육,유아교육,유아교육,놀이방,6
서울특별시,송파구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,송파구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,송파구,학문/교육,유아교육,유아교육,어린이집,314
서울특별시,송파구,학문/교육,유아교육,유아교육,유아교육기관기타,10
서울특별시,송파구,학문/교육,유아교육,유아교육,유치원,33
서울특별시,양천구,학문/교육,유아교육,유아교육,놀이방,6
서울특별시,양천구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,양천구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,양천구,학문/교육,유아교육,유아교육,어린이집,292
서울특별시,양천구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,양천구,학문/교육,유아교육,유아교육,유치원,27
서울특별시,영등포구,학문/교육,유아교육,유아교육,놀이방,5
서울특별시,영등포구,학문/교육,유아교육,유아교육,블럭놀이방,1
서울특별시,영등포구,학문/교육,유아교육,유아교육,실내놀이터-유아,2
서울특별시,영등포구,학문/교육,유아교육,유아교육,어린이집,184
서울특별시,영등포구,학문/교육,유아교육,유아교육,유아교육기관기타,4
서울특별시,영등포구,학문/교육,유아교육,유아교육,유치원,29
서울특별시,용산구,학문/교육,유아교육,유아교육,놀이방,2
서울특별시,용산구,학문/교육,유아교육,유아교육,실내놀이터-유아,2
서울특별시,용산구,학문/교육,유아교육,유아교육,어린이집,107
서울특별시,용산구,학문/교육,유아교육,유아교육,유아교육기관기타,6
서울특별시,용산구,학문/교육,유아교육,유아교육,유치원,19
서울특별시,은평구,학문/교육,유아교육,유아교육,놀이방,5
서울특별시,은평구,학문/교육,유아교육,유아교육,블럭놀이방,1
서울특별시,은평구,학문/교육,유아교육,유아교육,어린이집,270
서울특별시,은평구,학문/교육,유아교육,유아교육,유아교육기관기타,3
서울특별시,은평구,학문/교육,유아교육,유아교육,유치원,28
서울특별시,종로구,학문/교육,유아교육,유아교육,놀이방,1
서울특별시,종로구,학문/교육,유아교육,유아교육,어린이집,75
서울특별시,종로구,학문/교육,유아교육,유아교육,유아교육기관기타,3
서울특별시,종로구,학문/교육,유아교육,유아교육,유치원,16
서울특별시,중구,학문/교육,유아교육,유아교육,어린이집,56
서울특별시,중구,학문/교육,유아교육,유아교육,유아교육기관기타,1
서울특별시,중구,학문/교육,유아교육,유아교육,유치원,9
서울특별시,중랑구,학문/교육,유아교육,유아교육,놀이방,11
서울특별시,중랑구,학문/교육,유아교육,유아교육,블럭놀이방,1
서울특별시,중랑구,학문/교육,유아교육,유아교육,어린이집,226
서울특별시,중랑구,학문/교육,유아교육,유아교육,유아교육기관기타,4
서울특별시,중랑구,학문/교육,유아교육,유아교육,유치원,24
서울특별시,강남구,학문/교육,학원,음악미술무용,/바이올린/기타,244
서울특별시,강남구,학문/교육,학원,음악미술무용,국악,5
서울특별시,강동구,학문/교육,학원,음악미술무용,/바이올린/기타,206
서울특별시,강동구,학문/교육,학원,음악미술무용,국악,6
서울특별시,강북구,학문/교육,학원,음악미술무용,/바이올린/기타,39
서울특별시,강서구,학문/교육,학원,음악미술무용,/바이올린/기타,135
서울특별시,강서구,학문/교육,학원,음악미술무용,국악,1
서울특별시,관악구,학문/교육,학원,음악미술무용,/바이올린/기타,165
서울특별시,관악구,학문/교육,학원,음악미술무용,국악,3
서울특별시,광진구,학문/교육,학원,음악미술무용,/바이올린/기타,207
서울특별시,광진구,학문/교육,학원,음악미술무용,국악,4
서울특별시,구로구,학문/교육,학원,음악미술무용,/바이올린/기타,124
서울특별시,구로구,학문/교육,학원,음악미술무용,국악,4
서울특별시,금천구,학문/교육,학원,음악미술무용,/바이올린/기타,86
서울특별시,금천구,학문/교육,학원,음악미술무용,국악,1
서울특별시,노원구,학문/교육,학원,음악미술무용,/바이올린/기타,92
서울특별시,노원구,학문/교육,학원,음악미술무용,국악,2
서울특별시,도봉구,학문/교육,학원,음악미술무용,/바이올린/기타,51
서울특별시,동대문구,학문/교육,학원,음악미술무용,/바이올린/기타,94
서울특별시,동대문구,학문/교육,학원,음악미술무용,국악,2
서울특별시,동작구,학문/교육,학원,음악미술무용,/바이올린/기타,86
서울특별시,동작구,학문/교육,학원,음악미술무용,국악,4
서울특별시,마포구,학문/교육,학원,음악미술무용,/바이올린/기타,85
서울특별시,서대문구,학문/교육,학원,음악미술무용,/바이올린/기타,52
서울특별시,서초구,학문/교육,학원,음악미술무용,/바이올린/기타,181
서울특별시,서초구,학문/교육,학원,음악미술무용,국악,2
서울특별시,성동구,학문/교육,학원,음악미술무용,/바이올린/기타,71
서울특별시,성동구,학문/교육,학원,음악미술무용,국악,2
서울특별시,성북구,학문/교육,학원,음악미술무용,/바이올린/기타,121
서울특별시,성북구,학문/교육,학원,음악미술무용,국악,4
서울특별시,송파구,학문/교육,학원,음악미술무용,/바이올린/기타,155
서울특별시,송파구,학문/교육,학원,음악미술무용,국악,5
서울특별시,양천구,학문/교육,학원,음악미술무용,/바이올린/기타,112
서울특별시,양천구,학문/교육,학원,음악미술무용,국악,4
서울특별시,영등포구,학문/교육,학원,음악미술무용,/바이올린/기타,98
서울특별시,영등포구,학문/교육,학원,음악미술무용,국악,1
서울특별시,용산구,학문/교육,학원,음악미술무용,/바이올린/기타,53
서울특별시,용산구,학문/교육,학원,음악미술무용,국악,1
서울특별시,은평구,학문/교육,학원,음악미술무용,/바이올린/기타,78
서울특별시,종로구,학문/교육,학원,음악미술무용,/바이올린/기타,41
서울특별시,종로구,학문/교육,학원,음악미술무용,국악,4
서울특별시,중구,학문/교육,학원,음악미술무용,/바이올린/기타,41
서울특별시,중구,학문/교육,학원,음악미술무용,국악,1
서울특별시,중랑구,학문/교육,학원,음악미술무용,/바이올린/기타,104
서울특별시,중랑구,학문/교육,학원,음악미술무용,국악,1
서울특별시,강남구,학문/교육,학원,예능취미체육,가요,7
서울특별시,강남구,학문/교육,학원,음악미술무용,무용,25
서울특별시,강남구,학문/교육,학원,예능취미체육,배우/탤런트,27
서울특별시,강동구,학문/교육,학원,예능취미체육,가요,3
서울특별시,강동구,학문/교육,학원,음악미술무용,무용,15
서울특별시,강동구,학문/교육,학원,예능취미체육,배우/탤런트,4
서울특별시,강서구,학문/교육,학원,예능취미체육,가요,1
서울특별시,강서구,학문/교육,학원,음악미술무용,무용,6
서울특별시,강서구,학문/교육,학원,예능취미체육,배우/탤런트,3
서울특별시,관악구,학문/교육,학원,예능취미체육,가요,2
서울특별시,관악구,학문/교육,학원,음악미술무용,무용,8
서울특별시,관악구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,광진구,학문/교육,학원,예능취미체육,가요,5
서울특별시,광진구,학문/교육,학원,음악미술무용,무용,14
서울특별시,광진구,학문/교육,학원,예능취미체육,배우/탤런트,6
서울특별시,구로구,학문/교육,학원,예능취미체육,가요,3
서울특별시,구로구,학문/교육,학원,음악미술무용,무용,1
서울특별시,구로구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,금천구,학문/교육,학원,음악미술무용,무용,3
서울특별시,노원구,학문/교육,학원,음악미술무용,무용,2
서울특별시,도봉구,학문/교육,학원,음악미술무용,무용,3
서울특별시,동대문구,학문/교육,학원,예능취미체육,가요,3
서울특별시,동대문구,학문/교육,학원,음악미술무용,무용,3
서울특별시,동작구,학문/교육,학원,음악미술무용,무용,2
서울특별시,동작구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,마포구,학문/교육,학원,예능취미체육,가요,1
서울특별시,마포구,학문/교육,학원,음악미술무용,무용,3
서울특별시,마포구,학문/교육,학원,예능취미체육,배우/탤런트,6
서울특별시,서대문구,학문/교육,학원,음악미술무용,무용,2
서울특별시,서대문구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,서초구,학문/교육,학원,예능취미체육,가요,4
서울특별시,서초구,학문/교육,학원,음악미술무용,무용,15
서울특별시,서초구,학문/교육,학원,예능취미체육,배우/탤런트,10
서울특별시,성동구,학문/교육,학원,예능취미체육,가요,1
서울특별시,성동구,학문/교육,학원,음악미술무용,무용,4
서울특별시,성동구,학문/교육,학원,예능취미체육,배우/탤런트,3
서울특별시,성북구,학문/교육,학원,예능취미체육,가요,2
서울특별시,성북구,학문/교육,학원,음악미술무용,무용,9
서울특별시,성북구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,송파구,학문/교육,학원,예능취미체육,가요,1
서울특별시,송파구,학문/교육,학원,음악미술무용,무용,18
서울특별시,송파구,학문/교육,학원,예능취미체육,배우/탤런트,8
서울특별시,양천구,학문/교육,학원,예능취미체육,가요,1
서울특별시,양천구,학문/교육,학원,음악미술무용,무용,12
서울특별시,양천구,학문/교육,학원,예능취미체육,배우/탤런트,6
서울특별시,영등포구,학문/교육,학원,음악미술무용,무용,10
서울특별시,영등포구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,용산구,학문/교육,학원,예능취미체육,가요,1
서울특별시,용산구,학문/교육,학원,음악미술무용,무용,4
서울특별시,용산구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,은평구,학문/교육,학원,음악미술무용,무용,2
서울특별시,종로구,학문/교육,학원,예능취미체육,가요,2
서울특별시,종로구,학문/교육,학원,음악미술무용,무용,5
서울특별시,중구,학문/교육,학원,예능취미체육,가요,3
서울특별시,중구,학문/교육,학원,음악미술무용,무용,5
서울특별시,중랑구,학문/교육,학원,음악미술무용,무용,2
서울특별시,중랑구,학문/교육,학원,예능취미체육,배우/탤런트,1
